# Annual estimates of XYZ,,,,,,
# Overview of site and methods at XYZ,,,,,,
# Year = Run year,,,,,,
# Estimate = run size,,,,,,
# SE = Standard Error calculated based on INSERT,,,,,,
# p10 and p90 = 10th abd 90th percentiles of the ?posterior distribution?,,,,,,
Year, Estimate,SE,p10,p90,Use,UseNotes
1994,NA,NA,NA,NA,TRUE,TBI
1995,4050,12.75,NA,NA,TRUE,TBI
1996,2140,157,NA,NA,TRUE,TBI
1997,4161,588,NA,NA,TRUE,TBI
1998,2388,111,NA,NA,TRUE,TBI
1999,2672,32,NA,NA,TRUE,TBI
2000,2094,16,NA,NA,TRUE,TBI
2001,3147,98,NA,NA,TRUE,TBI
2002,2139,176,NA,NA,TRUE,TBI
2003,1912,5,NA,NA,TRUE,TBI
2004,1781,4,NA,NA,TRUE,TBI
2005,3166,15,NA,NA,TRUE,TBI
2006,3133,39,NA,NA,TRUE,TBI
2007,1532,9,NA,NA,TRUE,TBI
2008,1777,19.5,NA,NA,TRUE,TBI
2009,1962,4.75,NA,NA,TRUE,TBI
2010,1618,120,NA,NA,TRUE,TBI
2011,2742,38,NA,NA,TRUE,TBI
2012,1437,134,NA,NA,TRUE,TBI
2013,1128,6,NA,NA,TRUE,TBI
2014,NA,NA,NA,NA,TRUE,TBI
2015,1354,19.25,NA,NA,TRUE,TBI
2016,1137,0,NA,NA,TRUE,TBI
2017,1083,0,NA,NA,TRUE,TBI
2018,NA,NA,NA,NA,TRUE,TBI
2019,1328,0,NA,NA,TRUE,TBI
